   642099438677N    240411122223232 0 032174120901 0500300005003668204351232402 0 0000198 0 0 0198 0 0 00 00 002111111121123 11 0 00001000LA02 00 10101321113212
   657148241171H    690121322225332 0 031 62211001 02003000020031 3301 12 00002 0 0000226 398 00 0 0 0 02422 031101727777112 11 0 00001000CA10 00 66140311213212
   664153868575N 176020411122222211 09813 03120901 01123000011236 3301 11 72102 0 0000198 0 0 0198 0 0 01 01 422122121117212 1213140001000CA10 00 59201312212212
   672134376837N  57550411111222222 0 013 04213002 40000500350034 4414362 00002 0 0000126 398 03 0 0 0 03 01 331771177171222 11 0 00001000CA20 00 16142321313212
   682135946637N4024030411222227332 0 031 64212002980000300330035 2504291312102 0 00001211998 03 0 0 0 03 02 022112221121223 11 0 00001000AR01 00 27181321123212
   692095998677H  5106012202122732120 313 02120902 20000182318236 3301312 0000122312401 3142598210 498 02421 431111112712711 20 0 0222 701ZZ08 00100200312311212
   702137345637N  22221411112221222 0 031 64212001 01723000017232 1204121312402 0 0000198 398 03 0 0 0 02472 037111121017112 11 0 00001000LA01 00 24211221213212
   712137555637N  2406141112222233114 163 04116311 02003000020032 1204361232402 0 00001 398 0 0198 0 0 02292 022171172127113 11 0 00001000CA20 00 59221321313212
   724153468575N   161041112222233144 531 61220902 40000600360032 1204312 00002 0 00000 0 0 0 0198 0 0 08 02 087721127777112 11 0 00001000MS02 00 31211321513212
   734155878581H  60050111112221121 51013 06211001 01123000011231 3301432 00002 0 000012698 0 011098 0 02972 032177172112223 20 0 0222  01ZZ08 00 98131311211212
   742138966737N1032021411222226232 0 032174212211 0112300001123198604121122402 0 00003 0 0 0 0198 398 28 08 081211711121221 11 0 00001000NY01 00 47152313223212
   754082928285H  5007011112212122144 513 07212002 40000172317236 3301321322102 0 000012625 3 21 598 0 02471 432211112212111 11 0 00001000CA20 00 55252321113212
   762133596637H  43100122022216231181013 04120902 3000030033003126104322 00002 0 00001 298 0 03 0 0 0 00 00 002117112111222 12 1130001000CA10 00 66130321112212
   7741553265 1N  40780422022226232 0 013 03211002 4000018231823099304282 00002 0 0000198 0 0 03 0 0 0 08 08 081121122122112 12 1140001000CA20 00 64230222322212
   787148241171H    690121322228222 0 013 03120902 30000182318236 3301361362202 0 0000126 398 01 498 0 03 02 027111212277272 20 0 0228 741ZZ08 10 65110221411111
   792135426837H  60410120022215322 0 013 03120902 90000142314236 3301312 00002 0 00001 3261998198 0 0 02982 012172771111712 11 0 00001000CA30 00 66250311113212
   802094658677H     81122022221332 0 013 01220901 05003000050036 3301 02 00002 0 0000198 0 0 00 0 0 0 03 02 027211111711112 20 0 0222  02ZZ08 00  4100323321212
   814156618575N   1710411322221331881173 0621211298000011211121181464 12 0000115 92401 3 298 01 598 0 00 00 002122121701113 11 0 00001000NY01 00 47181312123212
   822135675637N  2428142202222333115 131153214411 01523000015231 3301311252402 0 000012698 0 0198 0 0 02422 032121121217121 20 0 0112 682ZZ08 10 50140311111111
   832094658677N    240411122221332 0 031 63320901 01823000018232 1204121122402 0 00003 0 0 0 012198 0 03 02 027111172717113 11 0 00001000TX01 00 12212321313212
   842137515637N  23731411112221331861131 62211001 05008000050002 1204121122402 0 00003 0 0 0 03 0 0 0 02 41 131121111111712 11 0 00001000TX01 00 12121321213212
   8541552765 1H  42060111122221232 0 013 04220901 01623000016232 1204222 0000126252403 0 0 0 019898 0 02421 132111172112113 11 0 00001000LA01 00 27231311213212
   862136336837N  55390411222116132 0 032173413001 0500300005003118104272 00002 0 00001 398 0 02 198 0 00 00 007777177112223 11 0 00001000IA02 00 99112321213212
   8741556865 1N  40941421112222332 0 031 64120902 20000152115212 120443122101116202403 0 0 0 0198 0 0 02422 027122721070113 11 0 00001000TX01 00 65150322413212
   882139365637N  2162141131121323120 373 06220901 0112300001123121104 11 12102 0 0000116 2 9981 41098 00 00 001122122212113 11 0 00001000MI01 00 52271311113212
